Name,Url,Description
Acquire Business (ME),https://kms.wam-sso.bosch.com/bbmdvae/en/pa-204-me-create-and-manage-sales-business-305763914.html,CategoryId
ME Doc Templates,https://kms.wam-sso.bosch.com/bbmbfsc/en/me-sc-mobility-templates-379455147.html,CategoryId
Home Depot CC,https://citiretailservices.citibankonline.com/RSauth/signon?pageName=signon&siteId=PLCN_HOMEDEPOT&langId=en_US&desc=EDZPBFDP0005&cmp=ESVC_EDZPBFDP0005,CategoryId
Rocketreach,https://rocketreach.co/dashboard,CategoryId
GM Financial,https://www.gmfinancial.com/en-us/myaccount/login.html,CategoryId
AcT Dashboard - Power BI,https://app.powerbi.com/groups/me/reports/4ce20940-79d5-4863-8af8-a00638667405/7022034ab809f8eb208b?ctid=0ae51e19-07c8-4e4b-bb6d-648ee58410f4&experience=power-bi,CategoryId
Aita Bio - Customer Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared\Customers\AitaBio,CategoryId
RseP Calendar,https://bosch.sharepoint.com/sites/msteams_daba906a-ExecutiveStaff/Lists/RseP%20Visit%20Calendar/ListView.aspx,CategoryId
Ford RseP Visit Slides,https://bosch.sharepoint.com/sites/msteams_6e4066d4/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2Fmsteams%5F6e4066d4%2FShared%20Documents%2FVisits%2F2026%2F2026%2D02%20Ford&p=true&ga=1,CategoryId
Outlook Web App,https://outlook.office.com/mail/,CategoryId
Bosch APIs,https://marketplace.api.bosch.com/,CategoryId
ZOOX - Confluence Info Page,https://inside-docupedia.bosch.com/confluence/display/CCWCC/Zoox,CategoryId
"ZOOX - Esp, iB Sharepoint",https://sites.inside-share3.bosch.com/sites/130693/default.aspx,CategoryId
WCC - Docupedia,https://inside-docupedia.bosch.com/confluence/pages/viewpage.action?pageId=452311053,CategoryId
WCC - HW Docupedia,https://inside-docupedia.bosch.com/confluence/x/g230Ig,CategoryId
Fisker - Airbag Sharepoint,https://sites.inside-share5.bosch.com/sites/179582/default.aspx,CategoryId
CNA Goals,https://rb-teamboard.emea.bosch.com/en/teamboard/board/194768,CategoryId
PN Lookup,https://rb-eplm-navigator.bosch.com/web/,CategoryId
Travel Booking & Expense,https://portal.bosch.com/#/dashboard,CategoryId
HR Help Desk Contact,\\Ply2fs01\rrj3fh$\rrj3fh\01_Files\31_BoschHr\HrHelpDesk.docx,CategoryId
IT Service Portal,https://service-management.bosch.tech/sp,CategoryId
NEV OneNote,https://sites.inside-share4.bosch.com/sites/010534/_layouts/15/WopiFrame2.aspx?sourcedoc={14c4bf0b-69cc-4ab6-9d23-5f603976197a}&action=edit,CategoryId
ICO Converter,https://www.icoconverter.com/,CategoryId
Salesforce Login,https://bosch-bbm.lightning.force.com/lightning/o/UP2GO_CPRM_BM__SalesProject__c/list?filterName=Recent,CategoryId
PAI Product Promotion Teams Channel,https://teams.microsoft.com/l/team/19%3a66d8fcec2733471192e78fd8dec17f60%40thread.tacv2/conversations?groupId=b010a766-bf56-4904-9d2f-edda5ef7cc6d&tenantId=0ae51e19-07c8-4e4b-bb6d-648ee58410f4,CategoryId
Unified Inbox,"https://inside.bosch.com/irj/portal/fiori#WorkflowTask-displayUIB?allItems=true&/detail/IDM_UIB_L/IDM-102674685_rrj3fh_73174818_en_uk/TaskCollection(SAP__Origin='IDM_UIB_L',InstanceID='IDM-102674685_rrj3fh_73174818_en_uk')",CategoryId
Global Org Charts,"http://fe0vmc1134.de.bosch.com/org.manager.server_P/index.html?goto=a03,(OBJID,10,50033580)&full=1",CategoryId
SCS 3 Shared,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\shared,CategoryId
Tesla - Sales Folder,\\BOSCH.COM\DfsRB\DfsUS\loc\Ply\ILM\Dept\AE_SCS_NA\Shared\Customers\Tesla,CategoryId
DSP Connect Page,https://connect.bosch.com/wikis/home?lang=en-us#!/wiki/W7efeeeb1db5e_4e6b_bc78_267483172ed7/page/C-DSO%20Did%20you%20know,CategoryId
FireFox,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,CategoryId
Outlook,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,CategoryId
Pdf Split & Merge,C:\Program Files\PDFsam Basic\pdfsam.exe,CategoryId
LiteDbStudio,C:\Users\rrj3fh\Desktop\Code\02_Tools\09_LiteDbStudio\LiteDB.Studio-master\LiteDB.Studio.exe,CategoryId
Beyond Compare,C:\Program Files\Beyond Compare 4\BCompare.exe,CategoryId
Calculator,C:\Windows\System32\calc.exe,CategoryId
Internet Explorer,C:\Program Files (x86)\Internet Explorer\iexplore.exe,CategoryId
Paint,C:\Windows\System32\mspaint.exe,CategoryId
Task Manager,C:\Windows\System32\taskmgr.exe,CategoryId
Snipping Tool,C:\Windows\System32\SnippingTool.exe,CategoryId
PDF Split a PDF,https://www.splitapdf.com/pdfsplitform,CategoryId
OneNote,C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE,CategoryId
Screenspresso,C:\Program Files\Learnpulse\Screenpresso\Screenpresso.exe,CategoryId
SQL Server Man Studio,C:\Program Files (x86)\Microsoft SQL Server Management Studio 18\Common7\IDE\Ssms.exe,CategoryId
"Stealth Safe, Dean Safes",https://www.deansafe.com/products/stealth-essential-gun-safe-egs23?currency=USD&variant=29352575270967&utm_medium=cpc&utm_source=google&utm_campaign=Google%20Shopping,CategoryId
Host Multiple .Net Core Apps,https://stackoverflow.com/questions/42348511/how-to-host-multiple-net-core-apps-under-the-same-url,CategoryId
Ant Design Blazor,https://antblazor.com/en-US/components,CategoryId
XC SNA Folder,\\bosch.com\dfsrb\DfsUS\DIV\XC\Department_internal\Sales\SNA\SNA-General,CategoryId
Benefits - My Plans Direct,https://auth.myplansconnect.com/rbcdfl/login,CategoryId
Christian Team Board,https://rb-teamboard.emea.bosch.com/de/teamboard/board/233047,CategoryId
BGN BEG,https://inside.bosch.com/irj/portal?NavigationTarget=navurl://acb13688cca1cfbf0a99a41fc7ddea48&ExecuteLocally=true&NavPathUpdate=true,CategoryId
BEGNA Area Map,https://inside-ws.bosch.com/FIRSTspiritWeb/wcms/wcms_rgam/media/rbna/beg-na/root_1/documents_1/general_1/BEGNA_Area_Map.pdf,CategoryId
BGN BEGNA Topics,https://inside.bosch.com/irj/portal?NavigationTarget=navurl://d83d3163fda1157fd94083d4938355d8&ExecuteLocally=true&NavPathUpdate=true,CategoryId
Folder Access Request,https://inside-ws.bosch.com/FIRSTspiritWeb/wcms/wcms_rgam/media/rbna/beg-na/root_1/documents_1/topics_1/how_to_get_access_to_network_folders_Fh_Abt_02.ppt,CategoryId
Jira Insiders Page,https://www.atlassian.com/software/jira/tips/overview?subscription=true,CategoryId
BGN BEGNA,https://inside.bosch.com/irj/portal?NavigationTarget=navurl://21e9a893c0fe37ff9c970486cafc7a1a&ExecuteLocally=true&NavPathUpdate=true,CategoryId
Daily Activities,\\Ply2fs01\rrj3fh$\rrj3fh\03 Files\01_Hours_and_Goals\2018\03_DailyActivities\Project_hours_2018.xls,CategoryId
BGN ESR-NA,https://inside.bosch.com/irj/portal?NavigationTarget=navurl://79449c88ccf4aeeb8d557b4c9740d9af&ExecuteLocally=true&NavPathUpdate=true,CategoryId
Mudblazor,https://mudblazor.com/,CategoryId
BUs - OSS/VDS Training,https://connect.bosch.com/communities/service/html/communitystart?communityUuid=e6babe9d-6297-44aa-8da9-eba1007373b5,CategoryId
Talent Pool Process,https://inside-docupedia.bosch.com/confluence/pages/viewpage.action?pageId=1696975589,CategoryId
AJ EV One Note,https://sites.inside-share.bosch.com/sites/010534/_layouts/15/WopiFrame2.aspx?sourcedoc=%2Fsites%2F010534%2FSiteAssets%2FWest%20Coast%20Customers%20Site%20WCC%20Notebook&action=edit,CategoryId
Ticket Submitter,http://abttxp.abt.de.bosch.com/XPert.aspx,CategoryId
Employee Handbook,https://inside-docupedia.bosch.com/confluence/pages/viewpage.action?pageId=413737524#id-10BEG-NAEmployeeHandbook-TravelandExpenses,CategoryId
PowerBI Sharepoint,https://sites.inside-share2.bosch.com/sites/108010/default.aspx,CategoryId
NG Portal,https://portal.bosch.com/,CategoryId
Airport Parking,https://inside-ws.bosch.com/FIRSTspiritWeb/wcms/wcms_rgam/media/rbna/rbna_fcm/fcm_2/110120deprocAIRLINES_PARKING.pdf,CategoryId
BGN Travel Page,https://inside.bosch.com/irj/portal/?NavigationTarget=HLPFS://wcms_rgam_Bosch_20GlobalNet/wcms_rgam_02_20Organization/wcms_rgam_Regional_20Subsidiaries_20RG/wcms_rgam_RBNA/wcms_rgam_Organization/wcms_rgam_RBNACorporateFunctions/wcms_rgam_RBNA_PUR/wcms_rgam_RBNA_PUR_Services-https://inside-ws.bosch.com/FIRSTspiritWeb/wcms/wcms_rgam/en/bosch_globalnet/02_organization/regional_subsidiaries_rg/rbna/organization/rbnacorporatefunctions/rbna_pur/rbna_pur_services/Travel_Management.html&NavigationContext=HLPFS://wcms_rgam_Bosch_20GlobalNet/wcms_rgam_02_20Organization/wcms_rgam_Regional_20Subsidiaries_20RG/wcms_rgam_RBNA/wcms_rgam_Organization/wcms_rgam_RBNACorporateFunctions/wcms_rgam_RBNA_PUR/wcms_rgam_RBNA_PUR_Services,CategoryId
Business Cards,https://www.vailprinting.com/scripts/ocv1.asp?ocvs=90,CategoryId
Ant Design Colors,https://ant.design/docs/spec/colors,CategoryId
Material Icons,https://fonts.google.com/icons?selected=Material+Icons+Outlined:av_timer,CategoryId
BLAZOR - Built On Blazor,https://builtonblazor.net/,CategoryId
Bootstrap 5,https://getbootstrap.com/docs/5.1/getting-started/introduction/,CategoryId
Bootstrap Colors,https://getbootstrap.com/docs/5.0/customize/color/,CategoryId
Open Color,https://yeun.github.io/open-color/,CategoryId
BitBucket,https://id.atlassian.com/login?application=bitbucket&continue=https%3A%2F%2Fbitbucket.org%2Faccount%2Fsignin%2F%3FredirectCount%3D1%26next%3D%252F,CategoryId
WinHost,https://cp.winhost.com/login.aspx,CategoryId
Jobs External,http://your.bosch-career.com/en/web/us/us/home_us/home,CategoryId
Jobs Internal,https://www.smartrecruiters.com/app/internal-mobility,CategoryId
Travel Client Portal Login,https://portal.fcm.travel/bosch,CategoryId
IT Links,C:\daten\users\defaultuser\myCILinks\v11\index.html,CategoryId
BGN Fh/Ply,https://inside.bosch.com/irj/portal?NavigationTarget=navurl://1ffede5c747a1a36dcd85075cf2095a1&ExecuteLocally=true&NavPathUpdate=true,CategoryId
BGN Fh HRL Topics,https://inside.bosch.com/irj/portal/?NavigationTarget=HLPFS://wcms_rgam_Bosch_20GlobalNet/wcms_rgam_02_20Organization/wcms_rgam_Regional_20Subsidiaries_20RG/wcms_rgam_RBNA/wcms_rgam_Location/wcms_rgam_00_united_states/wcms_rgam_farmingtonhills_1/wcms_rgam_02_fh_ply_organization/wcms_rgam_hrl_fh_ply/wcms_rgam_05_xxxx_topics_43/wcms_rgam_XXXX_Topicspage_57&NavigationContext=HLPFS://wcms_rgam_Bosch_20GlobalNet/wcms_rgam_02_20Organization/wcms_rgam_Regional_20Subsidiaries_20RG/wcms_rgam_RBNA/wcms_rgam_Location/wcms_rgam_00_united_states/wcms_rgam_farmingtonhills_1/wcms_rgam_02_fh_ply_organization/wcms_rgam_hrl_fh_ply/wcms_rgam_05_xxxx_topics_43,CategoryId
Name Plates,https://inside-ws.bosch.com/FIRSTspiritWeb/wcms/wcms_rgam/media/rbna/28_locations/01_hrl_fh_ply/misc._documents/Name_Plates.pdf,CategoryId
Service Center,https://inside.bosch.com/irj/portal/?NavigationTarget=HLPFS://wcms_rgam_Bosch_20GlobalNet/wcms_rgam_02_20Organization/wcms_rgam_Regional_20Subsidiaries_20RG/wcms_rgam_RBNA/wcms_rgam_Organization/wcms_rgam_RBNACorporateFunctions/wcms_rgam_RBNA_TER/wcms_rgam_02_xxxx_organization_8/wcms_rgam_RBNA_FCM/wcms_rgam_RBNA_FCM_AssociateServices-https://inside-ws.bosch.com/FIRSTspiritWeb/wcms/wcms_rgam/en/bosch_globalnet/02_organization/regional_subsidiaries_rg/rbna/organization/rbnacorporatefunctions/rbna_ter/02_xxxx_organization_8/rbna_fcm/rbna_fcm_associateservices/Standard_page.html&NavigationContext=HLPFS://wcms_rgam_Bosch_20GlobalNet/wcms_rgam_02_20Organization/wcms_rgam_Regional_20Subsidiaries_20RG/wcms_rgam_RBNA/wcms_rgam_Organization/wcms_rgam_RBNACorporateFunctions/wcms_rgam_RBNA_TER/wcms_rgam_02_xxxx_organization_8/wcms_rgam_RBNA_FCM/wcms_rgam_RBNA_FCM_AssociateServices,CategoryId
Bosch Hotels,http://www.bosch-hotels.com/,CategoryId
Doors,C:\Program Files (x86)\IBM\Rational\DOORS\9.5\bin\doors.exe,CategoryId
Bosch Health,https://portal.hfit.com/go.hcn?hcn2~SBegin~bosch,CategoryId
Bosch iBusiness,http://www.bosch-ibusiness.com/en/index.html,CategoryId
CM Parts Catalog,https://inside-ws.bosch.com/FIRSTspiritWeb/wcms/wcms_cm/media/cm/organization/businessunits/cmps/06_cm_ps_products/Folder_Coach_2011_E.pdf,CategoryId
Bosch Training,https://rb-wam.bosch.com/tfim/sps/successfactors/saml20/logininitial?RelayState=/sf/learning?destUrl=https%253a%252f%252fbosch%252eplateau%252ecom%252flearning%252fuser%252fdeeplink%255fredirect%252ejsp%253flinkId%253dLEARNING%255fPLAN%2526fromSF%253dY%26company%3DBOSCH&RequestBinding=HTTPPost&PartnerId=https://www.successfactors.com&NameIdFormat=Email,CategoryId
RBNA Technical Library,https://connect.bosch.com/communities/service/html/communityview?communityUuid=44a19dad-de10-4afa-9f9b-95a5a81e6904,CategoryId
Bosch MSW WiFi,https://connect.bosch.com/wikis/home?lang=en-us#!/wiki/Wc2046d795e2f_4473_bee1_9e819021702a/page/MSW%20-%20Mobile%20Services%20WLAN?section=ii18,CategoryId
